Zip,Payment_Sum,Payment_Count,Payment_Mean,Year
02445,309129.37,512,603.77,2013
02446,74786.51,348,214.9,2013
02451,355441.47,222,1601.09,2013
02452,1144.83,21,54.52,2013
02453,47304.05,138,342.78,2013
02458,124086.95,154,805.76,2013
02459,101160.67,248,407.91,2013
02460,1808.93,21,86.14,2013
02461,1264.37,24,52.68,2013
02462,291766.18,285,1023.74,2013
02464,673.08,16,42.07,2013
02465,20323.94,22,923.82,2013
02466,5547.17,28,198.11,2013
02467,591768.26,758,780.7,2013
02468,48196.89,41,1175.53,2013
02472,172911.37,624,277.1,2013
02474,17230.5,14,1230.75,2013
02476,948.94,27,35.15,2013
02478,134658.76,132,1020.14,2013
02481,203557.21,433,470.11,2013
02482,20823.26,21,991.58,2013
02492,92725.55,123,753.87,2013
02493,30316.31,40,757.91,2013
02494,1394.57,43,32.43,2013
02531,11.09,1,11.09,2013
02532,173.12,12,14.43,2013
02536,740.87,49,15.12,2013
02537,2581.64,17,151.86,2013
02540,10104.58,364,27.76,2013
02541,83.23,5,16.65,2013
02542,69.81,2,34.9,2013
02554,2919.08,8,364.88,2013
02555,49.07,1,49.07,2013
02556,6314.97,82,77.01,2013
02557,294.81,4,73.7,2013
02558,50.65,1,50.65,2013
02559,167.6,3,55.87,2013
02562,23.11,2,11.56,2013
02563,2431.06,76,31.99,2013
02568,136.51,3,45.5,2013
02571,19890.0,183,108.69,2013
02574,20.54,1,20.54,2013
02575,1064.64,3,354.88,2013
02601,150974.87,1348,112.0,2013
02610,303.91,12,25.33,2013
02630,103.33,1,103.33,2013
02631,880.53,35,25.16,2013
02632,377.11,26,14.5,2013
02633,817.99,11,74.36,2013
02635,212.45,8,26.56,2013
02638,821.11,43,19.1,2013
02644,400.25,17,23.54,2013
02645,1909.94,97,19.69,2013
02648,14.25,1,14.25,2013
02649,2021.53,105,19.25,2013
02650,15.57,1,15.57,2013
02651,72.11,3,24.04,2013
02653,778.1,42,18.53,2013
02655,607.36,18,33.74,2013
02657,9152.57,19,481.71,2013
02660,1644.29,27,60.9,2013
02662,103.33,1,103.33,2013
02663,867.49,3,289.16,2013
02664,642.5,34,18.9,2013
02666,227.98,17,13.41,2013
02667,12.43,1,12.43,2013
02668,10.0,1,10.0,2013
02670,53.56,4,13.39,2013
02673,3120.38,20,156.02,2013
02675,2072.64,52,39.86,2013
02680,10.86,1,10.86,2013
02703,19202.35,414,46.38,2013
02715,10.23,1,10.23,2013
02719,18463.35,269,68.64,2013
02720,137548.97,1451,94.8,2013
02721,112861.81,1064,106.07,2013
02722,51.81,3,17.27,2013
02723,240.29,12,20.02,2013
02724,6516.7,157,41.51,2013
02725,94.07,1,94.07,2013
02726,4154.91,140,29.68,2013
02727,200.0,1,200.0,2013
02738,149.16,3,49.72,2013
02739,13.62,1,13.62,2013
02740,28253.3,272,103.87,2013
02742,74.33,3,24.78,2013
02744,172.34,10,17.23,2013
02745,258.17,19,13.59,2013
02747,33367.24,494,67.55,2013
02748,174.85,7,24.98,2013
02750,32.47,2,16.24,2013
02760,2121.8,106,20.02,2013
02762,1459.57,75,19.46,2013
02763,519.36,6,86.56,2013
02764,119.24,11,10.84,2013
02766,592.64,25,23.71,2013
02767,2389.74,75,31.86,2013
02769,2070.41,66,31.37,2013
02770,173.07,6,28.84,2013
02771,823.55,57,14.45,2013
02777,1756.94,33,53.24,2013
02780,11954.9,313,38.19,2013
02783,14.25,1,14.25,2013
02790,851.64,38,22.41,2013
02802,214.92,18,11.94,2013
02806,45975.06,278,165.38,2013
02809,2968.17,138,21.51,2013
02813,1082.19,27,40.08,2013
02814,130.0,3,43.33,2013
02815,12.2,1,12.2,2013
02816,1137.37,77,14.77,2013
02817,15814.76,17,930.28,2013
02818,27183.87,603,45.08,2013
02825,2609.47,9,289.94,2013
02826,23.1,3,7.7,2013
02828,3684.7,146,25.24,2013
02830,112.75,2,56.38,2013
02831,111.6,7,15.94,2013
02832,14.54,1,14.54,2013
02833,77.12,1,77.12,2013
02835,57.26,7,8.18,2013
02837,14.52,1,14.52,2013
02838,12.79,1,12.79,2013
02840,9407.21,135,69.68,2013
02841,326.67,3,108.89,2013
02842,13453.53,303,44.4,2013
02852,3630.13,148,24.53,2013
02857,206.29,10,20.63,2013
02858,1159.84,51,22.74,2013
02859,210.14,8,26.27,2013
02860,133104.55,1174,113.38,2013
02861,2834.02,105,26.99,2013
02863,446.97,12,37.25,2013
02864,30393.85,435,69.87,2013
02865,17628.09,577,30.55,2013
02871,28308.36,204,138.77,2013
02874,11.52,4,2.88,2013
02876,210.92,13,16.22,2013
02878,1111.08,20,55.55,2013
02879,111111.7,371,299.49,2013
02881,69.0,1,69.0,2013
02882,18306.66,147,124.54,2013
02885,2189.63,105,20.85,2013
02886,103588.42,1355,76.45,2013
02888,98257.05,418,235.06,2013
02889,108.23,7,15.46,2013
02891,9381.75,339,27.67,2013
02892,126.92,2,63.46,2013
02893,6515.21,201,32.41,2013
02894,17.44,1,17.44,2013
02895,130282.2,1094,119.09,2013
02896,2486.23,75,33.15,2013
02901,4132.58,17,243.09,2013
02902,13.93,1,13.93,2013
02903,326216.34,1240,263.08,2013
02904,218906.73,1721,127.2,2013
02905,432052.52,1060,407.6,2013
02906,291564.03,950,306.91,2013
02907,12067.07,157,76.86,2013
02908,202708.69,795,254.98,2013
02909,453.39,5,90.68,2013
02910,55969.07,405,138.2,2013
02911,2889.5,83,34.81,2013
02912,577.5,2,288.75,2013
02914,56364.02,1155,48.8,2013
02915,2252.14,83,27.13,2013
02916,20808.22,147,141.55,2013
02917,6493.9,222,29.25,2013
02918,184.24,7,26.32,2013
02919,162349.97,895,181.4,2013
02920,45008.37,1163,38.7,2013
02921,449.0,18,24.94,2013
02940,4458.95,48,92.89,2013
02942,181.62,1,181.62,2013
03003,250.0,1,250.0,2013
03006,122.64,3,40.88,2013
03031,2441.72,46,53.08,2013
03034,132.21,4,33.05,2013
03038,44104.89,553,79.76,2013
03042,40.04,1,40.04,2013
03045,1013.08,18,56.28,2013
03047,30.14,3,10.05,2013
03049,803.11,5,160.62,2013
03051,3063.57,136,22.53,2013
03053,2866.2,152,18.86,2013
03054,2376.19,132,18.0,2013
03055,3240.87,94,34.48,2013
03060,139938.44,561,249.44,2013
03061,489.97,18,27.22,2013
03062,43274.49,214,202.22,2013
03063,10179.13,205,49.65,2013
03064,79678.64,115,692.86,2013
03070,25.86,2,12.93,2013
03076,360.79,15,24.05,2013
03077,354.92,22,16.13,2013
03079,67629.73,347,194.9,2013
03086,12.74,1,12.74,2013
03087,504.86,23,21.95,2013
03101,73875.97,246,300.31,2013
03102,70253.59,342,205.42,2013
03103,108859.91,702,155.07,2013
03104,13847.6,119,116.37,2013
03106,5754.36,43,133.82,2013
03109,3996.59,102,39.18,2013
03110,136000.31,304,447.37,2013
03220,294.86,17,17.34,2013
03221,100.0,1,100.0,2013
03222,60.41,4,15.1,2013
03226,40.77,2,20.38,2013
03229,203.06,7,29.01,2013
03235,711.04,28,25.39,2013
03244,39.13,1,39.13,2013
03246,11927.5,149,80.05,2013
03247,210.36,14,15.03,2013
03249,15350.41,101,151.98,2013
03252,4285.17,3,1428.39,2013
03256,123.28,8,15.41,2013
03257,771.88,26,29.69,2013
03263,14.25,1,14.25,2013
03264,233.64,15,15.58,2013
03275,699.37,22,31.79,2013
03276,182.79,5,36.56,2013
03281,45.78,3,15.26,2013
03296,12.93,1,12.93,2013
03301,72980.36,484,150.79,2013
03303,213.7,5,42.74,2013
03304,180.08,5,36.02,2013
03314,74.04,1,74.04,2013
03318,125.0,1,125.0,2013
03341,27.76,2,13.88,2013
03362,2301.82,23,100.08,2013
03377,36.39,4,9.1,2013
03380,1312.69,13,100.98,2013
03411,13.57,1,13.57,2013
03417,16.24,1,16.24,2013
03431,6083.56,75,81.11,2013
03440,23.56,2,11.78,2013
03443,111.37,2,55.68,2013
03452,319.4,5,63.88,2013
03458,1737.11,27,64.34,2013
03461,59.12,3,19.71,2013
03467,23.95,1,23.95,2013
03505,28.1,2,14.05,2013
03561,3782.05,54,70.04,2013
03570,670.73,21,31.94,2013
03576,619.01,34,18.21,2013
03580,8508.28,9,945.36,2013
03581,378.41,13,29.11,2013
03582,14.6,1,14.6,2013
03584,456.05,22,20.73,2013
03595,73.62,1,73.62,2013
03597,57.06,4,14.26,2013
03598,387.63,24,16.15,2013
03608,107.53,2,53.76,2013
03722,17.58,1,17.58,2013
