State,Payment_Sum,Payment_Count,Payment_Mean,Year,id,Pop,Name,Sum_pc,Count_pc,Mean_pc
DC,18939852.07,39826,475.57,2018,10,701547,District of Columbia,269972.68,567.69,6.78
DE,4173121.45,39045,106.88,2018,11,965479,Delaware,43223.33,404.41,1.11
FL,162063338.1,869194,186.45,2018,12,21244317,Florida,76285.5,409.14,0.09
GA,72781176.59,356427,204.2,2018,13,10511131,Georgia,69242.0,339.09,0.19
HI,4792977.76,45836,104.57,2018,15,1420593,Hawaii,33739.27,322.65,0.74
IA,13616881.97,61709,220.66,2018,16,3148618,Iowa,43247.17,195.99,0.7
ID,5771996.83,30688,188.09,2018,17,1750536,Idaho,32972.74,175.31,1.07
IL,90359900.06,416057,217.18,2018,18,12723071,Illinois,71020.51,327.01,0.17
IN,34878224.62,257408,135.5,2018,19,6695497,Indiana,52092.06,384.45,0.2
KS,23495474.28,100972,232.69,2018,20,2911359,Kansas,80702.77,346.82,0.8
KY,28525403.41,189805,150.29,2018,21,4461153,Kentucky,63941.77,425.46,0.34
LA,25471987.42,216947,117.41,2018,22,4659690,Louisiana,54664.55,465.58,0.25
MA,164309951.92,161826,1015.35,2018,23,6882635,Massachusetts,238731.17,235.12,1.48
MD,51436970.45,230087,223.55,2018,24,6035802,Maryland,85219.78,381.2,0.37
ME,3219085.69,17059,188.7,2018,25,1339057,Maine,24039.95,127.4,1.41
MI,87600596.11,355320,246.54,2018,26,9984072,Michigan,87740.35,355.89,0.25
MN,40939758.62,47380,864.07,2018,27,5606249,Minnesota,73025.22,84.51,1.54
MO,45861616.76,245960,186.46,2018,28,6121623,Missouri,74917.41,401.79,0.3
MS,10954542.42,116771,93.81,2018,29,2981020,Mississippi,36747.63,391.71,0.31
MT,1722731.62,13351,129.03,2018,30,1060665,Montana,16242.0,125.87,1.22
NC,78378055.88,341171,229.73,2018,31,10381615,North Carolina,75496.98,328.63,0.22
ND,18789283.53,13284,1414.43,2018,32,758080,North Dakota,247853.57,175.23,18.66
NE,8152836.17,60252,135.31,2018,33,1925614,Nebraska,42338.89,312.9,0.7
NH,5445881.83,23165,235.09,2018,34,1353465,New Hampshire,40236.59,171.15,1.74
NJ,48586472.1,387274,125.46,2018,35,8886025,New Jersey,54677.4,435.82,0.14
NM,5404705.17,33703,160.36,2018,36,2092741,New Mexico,25825.96,161.05,0.77
NV,18866741.94,92951,202.98,2018,37,3027341,Nevada,62321.17,307.04,0.67
NY,204717058.42,765886,267.29,2018,38,19530351,New York,104819.96,392.15,0.14
OH,105345066.89,450394,233.9,2018,39,11676341,Ohio,90220.96,385.73,0.2
OK,14719763.87,148125,99.37,2018,40,3940235,Oklahoma,37357.58,375.93,0.25
OR,19042655.57,58451,325.79,2018,41,4181886,Oregon,45536.05,139.77,0.78
PA,135150034.0,537461,251.46,2018,42,12800922,Pennsylvania,105578.36,419.86,0.2
RI,6989404.78,35742,195.55,2018,44,1058287,Rhode Island,66044.51,337.73,1.85
SC,21310370.63,194712,109.45,2018,45,5084156,South Carolina,41915.26,382.98,0.22
SD,5336314.87,21299,250.54,2018,46,878698,South Dakota,60729.79,242.39,2.85
TN,72090054.37,285390,252.6,2018,47,6771631,Tennessee,106458.92,421.45,0.37
TX,217595864.27,988215,220.19,2018,48,28628666,Texas,76006.29,345.18,0.08
UT,25491753.14,72747,350.42,2018,49,3153550,Utah,80835.1,230.68,1.11
VA,43645633.67,265062,164.66,2018,50,8501286,Virginia,51340.04,311.79,0.19
VT,1824323.25,1965,928.41,2018,52,624358,Vermont,29219.19,31.47,14.87
WA,54600427.8,122494,445.74,2018,53,7523869,Washington,72569.62,162.81,0.59
WI,25951017.2,78596,330.18,2018,54,5807406,Wisconsin,44686.07,135.34,0.57
WV,6640114.47,72181,91.99,2018,55,1804291,West Virginia,36801.79,400.05,0.51
WY,1108272.14,6406,173.01,2018,56,577601,Wyoming,19187.5,110.91,3.0
AK,1323279.24,10400,127.24,2019,1,731545,Alaska,18088.83,142.16,1.74
AL,25084995.63,201833,124.29,2019,2,4903185,Alabama,51160.61,411.64,0.25
AR,7901301.36,93323,84.67,2019,3,3017804,Arkansas,26182.29,309.24,0.28
AZ,55859977.68,223637,249.78,2019,5,7278717,Arizona,76744.26,307.25,0.34
CA,733185768.28,1075799,681.53,2019,6,39512223,California,185559.23,272.27,0.17
CO,63031511.04,125990,500.29,2019,7,5758736,Colorado,109453.73,218.78,0.87
CT,29406222.08,154785,189.98,2019,9,3565287,Connecticut,82479.26,434.14,0.53
DC,20270663.63,39727,510.25,2019,10,705749,District of Columbia,287222.0,562.91,7.23
DE,3971005.21,36899,107.62,2019,11,973764,Delaware,40779.95,378.93,1.11
FL,212024743.37,827434,256.24,2019,12,21477737,Florida,98718.38,385.25,0.12
GA,67132520.14,341280,196.71,2019,13,10617423,Georgia,63228.64,321.43,0.19
HI,5298883.55,43502,121.81,2019,15,1415872,Hawaii,37424.88,307.25,0.86
